page,published_date,price,area,price_per_m2,bedroom,wc,location,home_type,legal_status,furniture
1,07/10/2025,4.72,75.0,63.0,3,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,4.28,72.0,59.5,N/A,N/A,"Đông Anh, Hà Nội",đất,N/A,N/A
1,07/10/2025,38.3,288.0,133.0,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
1,07/10/2025,2.75,43.0,63.95,1,N/A,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
1,07/10/2025,3.85,18.0,213.89,2,1,"Đống Đa, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,N/A
1,07/10/2025,33.0,347.4,95.0,N/A,N/A,"Đống Đa, Hà Nội",căn hộ chung cư,Sổ đỏ,N/A
1,07/10/2025,4.1,63.0,65.08,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,N/A,75.0,N/A,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,3.35,59.0,56.78,2,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,N/A
1,07/10/2025,2.0,100.0,20.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
1,07/10/2025,15.6,104.0,150.0,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
1,07/10/2025,6.62,72.0,92.0,2,N/A,"Thanh Xuân, Hà Nội",căn hộ chung cư,N/A,N/A
1,07/10/2025,16.3,154.0,105.84,4,3,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,3.96,55.0,72.0,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,"Thiết bị bàn giao xịn xò: Sàn gỗ, trần thạch cao 2.9m, bếp từ Bosch, tủ bếp trên dưới, thiết bị vs nhập khẩu, hệ thống điện thông minh, cảm ứng, điều hòa 2 chiều Daikin, căn hộ smart home mở cửa từ xa"
1,07/10/2025,2.35,30.4,77.3,N/A,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,Nội thất cơ bản CĐT.
1,07/10/2025,1.76,25.0,70.2,N/A,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,Nội thất cơ bản CĐT.
1,07/10/2025,18.5,63.0,293.65,4,4,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
1,07/10/2025,38.3,288.0,133.0,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
1,07/10/2025,2.4,29.0,82.76,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
1,07/10/2025,2.7,30.0,90.0,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,N/A,N/A
2,07/10/2025,10.5,77.0,136.36,2,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,3.4,48.0,70.83,2,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,2.9,43.0,67.44,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Không nội thất
2,07/10/2025,4.8,75.0,64.0,3,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Không nội thất
2,07/10/2025,3.35,55.0,60.91,2,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,23.0,120.0,191.67,6,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
2,07/10/2025,2.3,30.0,76.67,N/A,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,38.0,228.0,166.67,4,4,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
2,07/10/2025,N/A,88.0,N/A,N/A,N/A,"Hoài Đức, Hà Nội",nhà riêng,Sổ đỏ,N/A
2,07/10/2025,12.75,116.0,109.91,3,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,N/A
2,07/10/2025,12.5,74.3,168.24,N/A,N/A,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",N/A,N/A
2,07/10/2025,4.6,64.6,71.21,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
2,07/10/2025,3.9,42.0,92.86,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
2,07/10/2025,3.95,54.0,73.15,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
2,07/10/2025,7.9,93.0,85.0,3,N/A,"Gia Lâm, Hà Nội",căn hộ chung cư,N/A,N/A
2,07/10/2025,8.5,31.0,274.19,N/A,N/A,"Tây Hồ, Hà Nội",nhà riêng,N/A,N/A
2,07/10/2025,10.75,152.5,70.49,3,3,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
2,07/10/2025,18.1,120.0,150.83,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
2,07/10/2025,N/A,43.0,N/A,1,1,"Cầu Giấy, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
2,07/10/2025,20.0,55.0,363.64,N/A,N/A,"Hoàn Kiếm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
3,07/10/2025,20.0,55.0,363.64,N/A,N/A,"Hoàn Kiếm, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Cơ bản
3,06/10/2025,N/A,50.0,N/A,1,N/A,"Long Biên, Hà Nội",căn hộ chung cư,Sổ hồng,Đầy đủ
3,06/10/2025,6.1,81.3,75.03,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
3,06/10/2025,N/A,72.0,N/A,3,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất tiêu chuẩn bàn giao quốc tế 5*.
3,06/10/2025,N/A,500.0,N/A,N/A,N/A,"Hoài Đức, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
3,06/10/2025,3.5,43.0,81.4,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản chủ đầu tư bàn giao
3,06/10/2025,N/A,28.9,N/A,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
3,06/10/2025,4.0,61.0,65.57,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,3.18,43.0,74.0,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản.
3,06/10/2025,6.5,72.9,89.16,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,N/A
3,06/10/2025,9.4,140.0,67.14,4,2,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,8.85,31.0,285.48,5,4,"Hoàng Mai, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng.,Đầy đủ
3,06/10/2025,23.4,75.0,312.0,N/A,N/A,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ,Không nội thất
3,06/10/2025,N/A,69.0,N/A,2,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
3,06/10/2025,6.25,72.0,86.81,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
3,06/10/2025,5.5,54.26,101.36,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,12.5,73.5,170.07,5,4,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",Hợp đồng mua bán,Xây thô hoàn thiện mặt ngoài
3,06/10/2025,8.0,100.0,80.0,3,2,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
3,06/10/2025,2.3,30.0,76.67,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
3,06/10/2025,6.5,73.0,89.04,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,N/A,Đầy đủ.
4,06/10/2025,6.36,79.0,80.51,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
4,06/10/2025,3.14,43.0,73.0,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
4,06/10/2025,2.5,28.6,87.41,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Đầy đủ.
4,06/10/2025,7.6,84.8,89.62,2,2,"Hà Đông, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
4,06/10/2025,N/A,95.0,N/A,3,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,N/A,N/A
4,06/10/2025,9.8,73.8,132.79,N/A,N/A,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
