published_date,location,home_type,price,area,bedroom,wc,legal_status,furniture
07/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,4.72,75.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
07/10/2025,"Đông Anh, Hà Nội",đất,4.28,72.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
07/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",38.3,288.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
07/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,2.75,43.0,1.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
07/10/2025,"Đống Đa, Hà Nội",nhà riêng,3.85,18.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,4.1,63.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
07/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,10.8,75.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
07/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,3.35,59.0,2.0,1.0,Sổ đỏ/ Sổ hồng.,Không có - Thiếu
07/10/2025,"Quốc Oai, Hà Nội",đất,2.0,100.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
07/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",15.6,104.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
07/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,6.62,72.0,2.0,3.0,Không có - Thiếu,Không có - Thiếu
07/10/2025,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,16.3,154.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,3.96,55.0,2.0,2.0,Không có - Thiếu,Cơ bản
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,2.35,30.4,3.0,3.0,Không có - Thiếu,Cơ bản
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,1.76,25.0,3.0,3.0,Không có - Thiếu,Cơ bản
07/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",18.5,63.0,4.0,4.0,Hợp đồng mua bán,Không có - Thiếu
07/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",38.3,288.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
07/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,2.4,29.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
07/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,2.7,30.0,1.0,1.0,Không có - Thiếu,Không có - Thiếu
07/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.5,77.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,3.4,48.0,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
